,2013,2014,2015,2016,2017,2018
0,BREDBAND2 I SKANDINAVIEN AB,OPUS GROUP AB,ONLINE BRANDS NORDIC AB,ELLEN AB,GOMSPACE GROUP AB,ELLEN AB
1,MISEN ENERGY AB,TAGMASTER AB,SENSYS GATSO GROUP AB,BONG AB,ELLEN AB,GENERIC SWEDEN AB
2,SVENSKA CELLULOSA AB SCA,MULTIQ INTERNATIONAL AB,SAS AB,FINGERPRINT CARDS AB,SAS AB,VIKING SUPPLY SHIPS AB
3,TAGMASTER AB,MISEN ENERGY AB,OPUS GROUP AB,SWEDOL AB,CELLINK AB,BERGS TIMBER AB
4,VITROLIFE AB,SVENSKA CELLULOSA AB SCA,MODERN EKONOMI SVERIGE HOLDING AB,OPUS GROUP AB,XANO INDUSTRI AB,ONLINE BRANDS NORDIC AB
5,NOBIA AB,VITROLIFE AB,INVESTMENT AB LATOUR,FEELGOOD SVENSKA AB,INVESTMENT AB LATOUR,DOXA AB (PUBL)
6,HEXPOL AB,MODERN EKONOMI SVERIGE HOLDING AB,GENERIC SWEDEN AB,SAS AB,MYCRONIC AB,STRAX AB
7,XANO INDUSTRI AB,MOMENT GROUP AB,MYCRONIC AB,A3 ALLMANNA IT - OCH TELEKOMAKTIEBOLAGET (PUBL),VITROLIFE AB,SAS AB
8,AAK AB,MEDIVIR AB,NOBIA AB,PROBI AB,SSAB AB,ELEKTA AB (PUBL)
9,NCC AB,BILLERUDKORSNAS AB,ITAB SHOP CONCEPT AB,VITROLIFE AB,ENIRO AB,AMASTEN FASTIGHETS AB
10,KUNGSLEDEN AB,CLOETTA AB,PRECISE BIOMETRICS AB,GENERIC SWEDEN AB,CLOETTA AB,ELTEL AB
11,HALDEX AB,MYCRONIC AB,CLAVISTER HOLDING AB,DISTIT AB,FEELGOOD SVENSKA AB,NIBE INDUSTRIER AB
12,UNLIMITED TRAVEL GROUP UTG AB,HEXPOL AB,VITROLIFE AB,INVESTMENT AB LATOUR,CELLAVISION AB,PALLAS GROUP AB
13,ELOS MEDTECH AB,SINTERCAST AB,ANOTO GROUP AB,BUFAB AB,DRILLCON AB,OPUS GROUP AB
14,DORO AB,ASSA ABLOY AB,NEDERMAN HOLDING AB,SANDVIK AB,TAGMASTER AB,GOTENEHUS GROUP AB
15,OPUS GROUP AB,INVISIO COMMUNICATIONS AB,SINTERCAST AB,PALLAS GROUP AB,PALLAS GROUP AB,EVOLUTION GAMING GROUP AB (PUBL)
16,L E LUNDBERGFORETAGEN AB,L E LUNDBERGFORETAGEN AB,GRANGES AB,NOBINA AB,GENERIC SWEDEN AB,FEELGOOD SVENSKA AB
17,LAGERCRANTZ GROUP AB,SAS AB,ELANDERS AB,ROTTNEROS AB,HEXATRONIC GROUP AB,ROTTNEROS AB
18,SWEDISH ORPHAN BIOVITRUM AB,ZINZINO AB,EOLUS VIND AB,SKISTAR AB,AAK AB,PIEZOMOTOR UPPSALA AB
19,CLOETTA AB,HEXAGON AB,AAK AB,PROACT IT GROUP AB,SINTERCAST AB,ZINZINO AB
